Q,A,label
별생각 없었는데,그러셨군요! 남은 하루는 더욱 행복해지시도록 완벽한 칵테일을 추천해 보겠습니다.,
그냥 지나갔어,그러셨군요! 남은 하루는 더욱 행복해지시도록 완벽한 칵테일을 추천해 보겠습니다.,
그냥 지나갔어요,그러셨군요! 남은 하루는 더욱 행복해지시도록 완벽한 칵테일을 추천해 보겠습니다.,
쓱 지나갔어,그러셨군요! 남은 하루는 더욱 행복해지시도록 완벽한 칵테일을 추천해 보겠습니다.,
쓱 지나갔어요,그러셨군요! 남은 하루는 더욱 행복해지시도록 완벽한 칵테일을 추천해 보겠습니다.,
묻지마,아이쿠,
연애를 안하고 있다면?,아이쿠,
없는데,아이쿠,
없어요,아이쿠,
애인이 없는데,아이쿠,
애인이 없어,아이쿠,
애인이 있는지 먼저 물어야하는거 아닌가,아이쿠,
애인이 없다면?,아이쿠,
할 수가 없어,아이쿠,
모솔인데,아이쿠,
나 모솔인데,아이쿠,
나 솔로인데,아이쿠,
솔론데요,아이쿠,
솔로인데,아이쿠,
솔로거든,아이쿠,
애인 없어,아이쿠,
짜증나게 할래?,아이쿠,
솔론데?,아이쿠,
애인 없는데?,아이쿠,
연애를 안하고 있는데?,아이쿠,
연애를 안하고 있어,아이쿠,
연애 안하고 있어,아이쿠,
연애 안하고 있어요,아이쿠,
애인 없는데요,아이쿠,
엥,아이쿠,
커플이 아닌데,아이쿠,
커플 아닌데,아이쿠,
커플 아닌데요,아이쿠,
커플인지 먼저 물어야지,아이쿠,
커플인지 먼저 물어봐야지,아이쿠,
커플이 아닌데요,아이쿠,
남친이 없는데,아이쿠,
남자가 없는데,아이쿠,
못하고 있는데,아이쿠,
여친이 없는데,아이쿠,
여자가 없는데,아이쿠,
남친이 없는데요,아이쿠,
여친이 없는데요,아이쿠,
꼭 물어봐야겠어?,아이쿠,
열받게하네,아이쿠,
뭔 개소리야,아이쿠,
헤어졌어,힘드시겠어요,
헤어질거 같아,힘드시겠어요,
헤어질거 같아요,힘드시겠어요,
헤어졌어요,힘드시겠어요,
깨졌어요,힘드시겠어요,
깨졌어,힘드시겠어요,
차였어,힘드시겠어요,
차였어요,힘드시겠어요,
차인지 오래인데,아이쿠,
오래전에 헤어졌어,아이쿠,
헤어진지 한참됐어,아이쿠,
헤어진지 좀 됐어,아이쿠,
안하고 있는데,아이쿠,
안하고 있어,아이쿠,
못하고 있어,아이쿠,
안하고 있어요,아이쿠,
못하고 있어요,아이쿠,
이미 결혼 했는데,아이쿠,
결혼 했는데,아이쿠,
뭔소리야,아이쿠,
뭔소리야 결혼했는데,아이쿠,
이미 결혼했어요,아이쿠,
그냥 그래요,"그러시군요, 칵테일로 특별한 추억을 쌓아보시는 건 어떨까요?",
그냥 그래,그렇군요,
별일 없어,"그러시군요, 칵테일로 특별한 추억을 쌓아보시는 건 어떨까요?",
별일 없어요,"그러시군요, 칵테일로 특별한 추억을 쌓아보시는 건 어떨까요?",
평소랑 똑같지 뭐,그렇군요,
평소랑 똑같아,그렇군요,
평소랑 똑같아요,그렇군요,
특별한일은 없었어,"그러시군요, 칵테일로 특별한 추억을 쌓아보시는 건 어떨까요?",
특별한 일은 없었어요,"그러시군요, 칵테일로 특별한 추억을 쌓아보시는 건 어떨까요?",
아니요,"저런, 쓴 술로 드려야하나봐요",
안되어 가고 있는거 같아요,"저런, 쓴 술로 드려야하나봐요",
안되어 가고 있어,"저런, 쓴 술로 드려야하나봐요",
잘 안돼,"저런, 쓴 술로 드려야하나봐요",
잘 안되네,"저런, 쓴 술로 드려야하나봐요",
안되네,"저런, 쓴 술로 드려야하나봐요",
안돼,"저런, 쓴 술로 드려야하나봐요",
힘들어,"저런, 쓴 술로 드려야하나봐요",
아니,"저런, 쓴 술로 드려야하나봐요",
별로 안좋아,"저런, 쓴 술로 드려야하나봐요",
상황이 안좋아,"저런, 쓴 술로 드려야하나봐요",
상황이 좋지 않네요,"저런, 쓴 술로 드려야하나봐요",
안좋아요,"저런, 쓴 술로 드려야하나봐요",
끝이 보이는 거  같아요,"저런, 쓴 술로 드려야하나봐요",
곧 헤어질 거 같아요,"저런, 쓴 술로 드려야하나봐요",
곧 헤어질지도,"저런, 쓴 술로 드려야하나봐요",
안맞는거 같아요,"저런, 쓴 술로 드려야하나봐요",
안맞는거 같아,"저런, 쓴 술로 드려야하나봐요",
안맞아,"저런, 쓴 술로 드려야하나봐요",
안맞아요,"저런, 쓴 술로 드려야하나봐요",
헤어질거 같네,"저런, 쓴 술로 드려야하나봐요",
너무 잘 되고 있어,행복하시군요!,
완전 잘되고 있어,행복하시군요!,
잘되고 있어,행복하시군요!,
잘 되고 있어요,행복하시군요!,
잘하는 중 이죠,행복하시군요!,
잘 되어가고 있어요,행복하시군요!,
잘 맞는거 같아요,행복하시군요!,
잘 맞아요,행복하시군요!,
잘 맞는거 같아,행복하시군요!,
잘 맞아,행복하시군요!,
너무 잘 맞아,행복하시군요!,
괜찮아,행복하시군요!,
나쁘지 않아,행복하시군요!,
나름 잘되고 있어,행복하시군요!,
꽤 잘되고 있어,행복하시군요!,
좋아,그렇군요!,
행복해,행복하시군요!,
너무 설레,행복하시군요!,
두근거려,행복하시군요!,
심쿵해,행복하시군요!,
생각만 해도 좋아,행복하시군요!,
화창해,날씨가 좋았다니 다행이네요,
너무 좋아,그렇군요!,
날씨 좋아,날씨가 좋았다니 다행이네요,
날씨는 좋아,날씨가 좋았다니 다행이네요,
날씨 좋아요,날씨가 좋았다니 다행이네요,
날씨는 좋아요,날씨가 좋았다니 다행이네요,
맑아요,날씨가 좋았다니 다행이네요,
날씨가 맑아요,날씨가 좋았다니 다행이네요,
맑아요,날씨가 좋았다니 다행이네요,
화창해요,날씨가 좋았다니 다행이네요,
날씨가 화창해요,날씨가 좋았다니 다행이네요,
날씨가 화창해,날씨가 좋았다니 다행이네요,
햇빛이 강렬해,날씨가 좋았다니 다행이네요,
상쾌해,날씨가 좋았다니 다행이네요,
시원하고 좋아,날씨가 좋았다니 다행이네요,
시원해,날씨가 좋았다니 다행이네요,
시원해요,날씨가 좋았다니 다행이네요,
오늘 날씨 완전 좋아,날씨가 좋았다니 다행이네요,
오늘 날씨 최곤데,날씨가 좋았다니 다행이네요,
오늘 날씨 좋아,날씨가 좋았다니 다행이네요,
날씨 최고야,날씨가 좋았다니 다행이네요,
날씨 좋은데?,날씨가 좋았다니 다행이네요,
최고야,날씨가 좋았다니 다행이네요,
미세먼지가 없어,날씨가 좋았다니 다행이네요,
미세먼지 농도가 낮은 날이야,날씨가 좋았다니 다행이네요,
깨끗해,날씨가 좋았다니 다행이네요,
깨끗했어,날씨가 좋았다니 다행이네요,
비가 왔어,"아이고, 안젖으셨나요?",
비 왔어,"아이고, 안젖으셨나요?",
비왔어요,"아이고, 안젖으셨나요?",
비가 왔어요,"아이고, 안젖으셨나요?",
축축했어,그닥 좋지 않았군요,
습했어,그닥 좋지 않았군요,
습해,그닥 좋지 않았군요,
비와,"아이고, 안젖으셨나요?",
비,"아이고, 안젖으셨나요?",
축축해,그닥 좋지 않았군요,
추워,따끈한 술도 있어요,
너무 추워,따끈한 술도 있어요,
추워요,따끈한 술도 있어요,
너무 추워요,따끈한 술도 있어요,
눈,"아이고, 안젖으셨나요?",
눈와,"아이고, 안젖으셨나요?",
눈이 왔어,"아이고, 안젖으셨나요?",
눈이 오고있어,"아이고, 안젖으셨나요?",
비가 내리고 있어,"아이고, 안젖으셨나요?",
비가 오고 있어,"아이고, 안젖으셨나요?",
비가 올거같아,우산을 챙기셔야겠네요,
비올거 같아,우산을 챙기셔야겠네요,
눈 올거 같아,우산을 챙기셔야겠네요,
비가 내릴거 같아,우산을 챙기셔야겠네요,
비 내릴거 같아,우산을 챙기셔야겠네요,
비 내릴거 같은 밤이야,우산을 챙기셔야겠네요,
우중충하네,우산을 챙기셔야겠네요,
우중충해,우산을 챙기셔야겠네요,
먹구름이 꼈어,우산을 챙기셔야겠네요,
먹구름이 있어,우산을 챙기셔야겠네요,
곧 눈이 올지도,우산을 챙기셔야겠네요,
곧 비가 올지도,우산을 챙기셔야겠네요,
곧 눈 올거 같아,우산을 챙기셔야겠네요,
곧  비 올거 같아,우산을 챙기셔야겠네요,
너무 추워,따끈한 술도 있어요,
추워 죽겠어,따끈한 술도 있어요,
얼어 죽겠어,따끈한 술도 있어요,
추워서 몸이 덜덜 떨려,따끈한 술도 있어요,
너무 추웠어,따끈한 술도 있어요,
추웠어,따끈한 술도 있어요,
겨울 날씨야,따끈한 술도 있어요,
겨울 날씨였어,따끈한 술도 있어요,
겨울이다 완전,따끈한 술도 있어요,
겨울이네,따끈한 술도 있어요,
겨울,따끈한 술도 있어요,
겨울 날씨,따끈한 술도 있어요,
너무 더워,그러면 시원한 드링크 류가 좋겠군요,
더워,그러면 시원한 드링크 류가 좋겠군요,
너무 더워요,그러면 시원한 드링크 류가 좋겠군요,
덥다,그러면 시원한 드링크 류가 좋겠군요,
더워요,그러면 시원한 드링크 류가 좋겠군요,
쪄 죽을거같아,그러면 시원한 드링크 류가 좋겠군요,
찜질방에 온거같아,그러면 시원한 드링크 류가 좋겠군요,
완전 여름,그러면 시원한 드링크 류가 좋겠군요,
완전 여름이야,그러면 시원한 드링크 류가 좋겠군요,
완전 여름 날씨,그러면 시원한 드링크 류가 좋겠군요,
여름,그러면 시원한 드링크 류가 좋겠군요,
여름 날씨,그러면 시원한 드링크 류가 좋겠군요,
날씨 더워,그러면 시원한 드링크 류가 좋겠군요,
오늘 완전 더워,그러면 시원한 드링크 류가 좋겠군요,
더워 더워,그러면 시원한 드링크 류가 좋겠군요,
완전 여름 날씨에요,그러면 시원한 드링크 류가 좋겠군요,
여름 날씨다,그러면 시원한 드링크 류가 좋겠군요,
더워 죽겠다,그러면 시원한 드링크 류가 좋겠군요,
쪄 죽겠어,그러면 시원한 드링크 류가 좋겠군요,
제일 더웠어,그러면 시원한 드링크 류가 좋겠군요,
최고로 더웠어,그러면 시원한 드링크 류가 좋겠군요,
선풍기 없으면 안될 날씨였어,그러면 시원한 드링크 류가 좋겠군요,
갑자기 더워졌어,그러면 시원한 드링크 류가 좋겠군요,
갑자기 더워,그러면 시원한 드링크 류가 좋겠군요,
갑자기 추워,따끈한 술도 있어요,
갑자기 추워졌어,따끈한 술도 있어요,
오늘 일했지,피곤하시겠어요,
일,피곤하시겠어요,
일했어,피곤하시겠어요,
출근,피곤하시겠어요,
일했어요,피곤하시겠어요,
공부,피곤하시겠어요,
공부했어요,피곤하시겠어요,
공부 했지,피곤하시겠어요,
일밖에 안했어,피곤하시겠어요,
하루종일 일 했어,피곤하시겠어요,
하루종일 공부했어,피곤하시겠어요,
하루종일 코딩했어,피곤하시겠어요,
코딩,피곤하시겠어요,
알바,피곤하시겠어요,
코딩했어,피곤하시겠어요,
알바했어,피곤하시겠어요,
코딩했어요,피곤하시겠어요,
알바했어요,피곤하시겠어요,
공부만 했어요,피곤하시겠어요,
과외 했어요,피곤하시겠어요,
운동했어요,피곤하시겠어요,
운동,피곤하시겠어요,
과외,피곤하시겠어요,
아무것도,그러셨군요.,
아무것도 안했어요,그러셨군요.,
별거 안했어요,그러셨군요.,
잠만 잤어요,그러셨군요.,
누워있었어요,그러셨군요.,
누워있었어,그러셨군요.,
시체놀이,그러셨군요.,
집에만 있었어,그러셨군요.,
그냥 있었어,그러셨군요.,
밥먹고 누워있었어,그러셨군요.,
밥만 먹었어,그러셨군요.,
놀았어,재미있었겠네요!,
친구어 있었어,재미있었겠네요!,
애인이랑 있었어,재미있었겠네요!,
친구랑 놀았어,재미있었겠네요!,
놀았어요,재미있었겠네요!,
밖에서 놀았어요,재미있었겠네요!,
밖에 나갔어요,재미있었겠네요!,
오랜만에 밖에 나갔어요,재미있었겠네요!,
산책했어요,재미있었겠네요!,
공놀이 했어요,재미있었겠네요!,
친구랑 게임했어요,재미있었겠네요!,
게임했어요,재미있었겠네요!,
영화봤어요,재미있었겠네요!,
책읽었어요,재미있었겠네요!,
데이트 했어요,우우,
등교했어요,피곤하시겠어요,
학교갔어요,피곤하시겠어요,
회사 갔어요,피곤하시겠어요,
회사가서 일했어,피곤하시겠어요,
학교가서 공부했어,피곤하시겠어요,
노래방 갔어요,재미있었겠네요!,
빈둥거렸어,그러셨군요.,
잘,잘됐네요! 반가운 소식입니다.,
잘지내,잘됐네요! 반가운 소식입니다.,
아주 잘 지내요,잘됐네요! 반가운 소식입니다.,
너무 잘,잘됐네요! 반가운 소식입니다.,
행복하게 지내,잘됐네요! 반가운 소식입니다.,
힘들게 지내 ,"저런,,, 왜일까요",
잘 지내고 있어,잘됐네요! 반가운 소식입니다.,
좋게 지내,잘됐네요! 반가운 소식입니다.,
나쁘지 않게 지내는 중이야,잘됐네요! 반가운 소식입니다.,
잘 지내는 중이야,잘됐네요! 반가운 소식입니다.,
안좋게 지내,"저런,,, 왜일까요",
별로 안좋게 지내,"저런,,, 왜일까요",
딱히 하는건 없어,그러셨군요.,
바쁘게 지내,"저런,,, 왜일까요",
완전 바쁘게 지내는 중이야,"저런,,, 왜일까요",
없어,그렇군요,
딱히?,그렇군요,
아무 고민도 없어,그렇군요,
고민 없어,그렇군요,
없는데,그렇군요,
없어요,그렇군요,
진로,그럴땐 술이죠!,
취업,그럴땐 술이죠!,
취업 때문에 고민이 많아,그럴땐 술이죠!,
공부 때문에 고민이 많아,그럴땐 술이죠!,
회사 때문에 고민이 많아,그럴땐 술이죠!,
인간관계,그럴땐 술이죠!,
친구 ,그럴땐 술이죠!,
친구 때문에 고민이야,그럴땐 술이죠!,
취업 때문에 고민이야,그럴땐 술이죠!,
돈,그럴땐 술이죠!,
결혼 때문에 고민이야,그럴땐 술이죠!,
돈 걱정,그럴땐 술이죠!,
친구 걱정,그럴땐 술이죠!,
친구 고민,그럴땐 술이죠!,
빚,그럴땐 술이죠!,
대출,그럴땐 술이죠!,
잘 다니고 있어,다행입니다.,
그냥 그렇지 뭐,그렇군요,
다니기 싫어,저돕니다,
퇴근하고 싶어,저돕니다,
하교하고 싶어,저돕니다,
째고 싶어,저돕니다,
집가고 싶어,저돕니다,
힘들어,그럴 땐 술이죠!,
재밌어,다행입니다.,
나쁘지 않은거 같아,다행입니다.,
잘 다니고 있는거 같아,다행입니다.,
잘 하고 있는거 같아,다행입니다.,
응,오호 알겠습니다,
좋아해,오호 알겠습니다,
응 좋아해,오호 알겠습니다,
응 즐기는 편이야,오호 알겠습니다,
응 좋아하는 편이야,오호 알겠습니다,
즐기는 편이야,오호 알겠습니다,
꽤 마셔,오호 알겠습니다,
엄청 좋아해,오호 알겠습니다,
술 엄청 많이 마셔,오호 알겠습니다,
많이 마시는 편이야,오호 알겠습니다,
많이 마시는거 좋아해,오호 알겠습니다,
안좋아해,"흠, 참고하겠습니다",
특별한 날 아니면 안마셔,"흠, 참고하겠습니다",
아니,"흠, 참고하겠습니다",
싫어해,"흠, 참고하겠습니다",
단거 아니면 싫어해,"흠, 참고하겠습니다",
안즐겨,"흠, 참고하겠습니다",
안즐기는 편이야,"흠, 참고하겠습니다",
아니 안즐겨,"흠, 참고하겠습니다",
아니 싫어해,"흠, 참고하겠습니다",
아니 안즐기는 편이야,"흠, 참고하겠습니다",
전혀 안마셔,"흠, 참고하겠습니다",
입에도 안대,"흠, 참고하겠습니다",
술찌야,"흠, 참고하겠습니다",
술 완전 못마셔,"흠, 참고하겠습니다",
좋아하는데 완전 못마셔,"흠, 참고하겠습니다",
마시는데 좋아하지는 않아,"흠, 참고하겠습니다",
술은 싫어하는데 술자리는 좋아해,"흠, 참고하겠습니다",
그냥 술자리에서만?,"흠, 참고하겠습니다",
술자리에서만 먹어,"흠, 참고하겠습니다",
술자리애서만 먹어요,"흠, 참고하겠습니다",
술자리에서만 마셔요,"흠, 참고하겠습니다",
술자리에서만 마셔,"흠, 참고하겠습니다",
즐기지 않아,"흠, 참고하겠습니다",
즐기지 않아요,"흠, 참고하겠습니다",
즐기지 않습니다,"흠, 참고하겠습니다",
안즐겨요,"흠, 참고하겠습니다",
즐기지 않는 편인거 같아요,"흠, 참고하겠습니다",
안즐기는 편인거 같아요,"흠, 참고하겠습니다",
즐기지 않는거 같아요,"흠, 참고하겠습니다",
안즐기는거 같아요,"흠, 참고하겠습니다",
즐기는거 같아요,오호 알겠습니다,
즐기는 편인거 같아요,오호 알겠습니다,
즐기는 편이에요,오호 알겠습니다,
안즐기는 편이에요,"흠, 참고하겠습니다",
술 완전 싫어해요,"흠, 참고하겠습니다",
술 진짜 싫어해,"흠, 참고하겠습니다",
술 진짜 싫어해요,"흠, 참고하겠습니다",
술 완전 싫어,"흠, 참고하겠습니다",
술 완전 좋아해,오호 알겠습니다,
술 완전 좋아,오호 알겠습니다,
술 완전 싫어해,"흠, 참고하겠습니다",
맛도 없는걸 왜 즐겨,"흠, 참고하겠습니다",
왜 즐겨,"흠, 참고하겠습니다",
왜 즐기지,"흠, 참고하겠습니다",
왜 즐겨요?,"흠, 참고하겠습니다",
술 좋아해,오호 알겠습니다,
술 좋아해요,오호 알겠습니다,
술 좋아해,오호 알겠습니다,
술 완전 좋아해요,오호 알겠습니다,
술 진짜 좋아해,오호 알겠습니다,
술 진짜 좋아해요,오호 알겠습니다,
좋아해,오호 알겠습니다,
진짜 좋아해,오호 알겠습니다,
완전 좋아해,오호 알겠습니다,
진짜 좋아해요,오호 알겠습니다,
좋아해요,오호 알겠습니다,
완전 좋아해요,오호 알겠습니다,
술 사랑하죠,오호 알겠습니다,
사랑해,오호 알겠습니다,
사랑하죠,오호 알겠습니다,
완전 사랑해,오호 알겠습니다,
진짜 사랑해,오호 알겠습니다,
양식,그에 어울리는 칵테일도  한번 찾아보겠습니다.,
중식,그러시군요,
한식,그러시군요,
일식,그러시군요,
양식 좋아해,그에 어울리는 칵테일도  한번 찾아보겠습니다.,
파스타 좋아해,그에 어울리는 칵테일도  한번 찾아보겠습니다.,
피자 좋아해,그에 어울리는 칵테일도  한번 찾아보겠습니다.,
햄버거 좋아해,그에 어울리는 칵테일도  한번 찾아보겠습니다.,
크림 파스타 좋아해,그에 어울리는 칵테일도  한번 찾아보겠습니다.,
토마토 파스타 좋아해,그에 어울리는 칵테일도  한번 찾아보겠습니다.,
스파게티 좋아해,그에 어울리는 칵테일도  한번 찾아보겠습니다.,
바질 좋아해,그에 어울리는 칵테일도  한번 찾아보겠습니다.,
빵 좋아해,그에 어울리는 칵테일도  한번 찾아보겠습니다.,
프랑스 음식 좋아해,그에 어울리는 칵테일도  한번 찾아보겠습니다.,
오일 파스타 좋아해,그에 어울리는 칵테일도  한번 찾아보겠습니다.,
리조또 좋아해,그에 어울리는 칵테일도  한번 찾아보겠습니다.,
스테이크 좋아해,그에 어울리는 칵테일도  한번 찾아보겠습니다.,
중식 좋아해,그러시군요,
한식 좋아해,그러시군요,
일식 좋아해,그러시군요,
성격 별로야,하하 아닐거에요! 성격 좋아보이시는 걸요,
성격 좋지않아,하하 아닐거에요! 성격 좋아보이시는 걸요,
성격 안좋아,하하 아닐거에요! 성격 좋아보이시는 걸요,
성격 완전 안좋아,하하 아닐거에요! 성격 좋아보이시는 걸요,
안좋아,하하 아닐거에요! 성격 좋아보이시는 걸요,
안좋다는 소리 많이 들어,하하 아닐거에요! 성격 좋아보이시는 걸요,
다혈질이야,"그러시군요, 칵테일로 화나는 감정들을 조금 해소해 보시는건 어떨까요?",
화가 많아,"그러시군요, 칵테일로 화나는 감정들을 조금 해소해 보시는건 어떨까요?",
화가 많은 편이야,"그러시군요, 칵테일로 화나는 감정들을 조금 해소해 보시는건 어떨까요?",
화를 참지 못해,"그러시군요, 칵테일로 화나는 감정들을 조금 해소해 보시는건 어떨까요?",
감정을 주체할 수 없어,"그러시군요, 칵테일로 감정들을 조금 해소해 보시는건 어떨까요?",
자주 울어,"저런, 스트레스 많이 받으시겠어요",
자주 화가나,"그러시군요, 칵테일로 화나는 감정들을 조금 해소해 보시는건 어떨까요?",
항상 화나있어,"그러시군요, 칵테일로 화나는 감정들을 조금 해소해 보시는건 어떨까요?",
한번 화나면 아무것도 보이지 않아,"그러시군요, 칵테일로 화나는 감정들을 조금 해소해 보시는건 어떨까요?",
열받는 일은 못참아,"그러시군요, 칵테일로 화나는 감정들을 조금 해소해 보시는건 어떨까요?",
안좋은거같아,하하 아닐거에요! 성격 좋아보이시는 걸요,
다혈질이라는 소리를 많이 들어,"그러시군요, 칵테일로 화나는 감정들을 조금 해소해 보시는건 어떨까요?",
완전 안좋아,하하 아닐거에요! 성격 좋아보이시는 걸요,
성격은 다혈질,"그러시군요, 칵테일로 화나는 감정들을 조금 해소해 보시는건 어떨까요?",
화나는 일이 많아,"그러시군요, 칵테일로 화나는 감정들을 조금 해소해 보시는건 어떨까요?",
화부터 내,"그러시군요, 칵테일로 화나는 감정들을 조금 해소해 보시는건 어떨까요?",
많이 안좋아,하하 아닐거에요! 성격 좋아보이시는 걸요,
많이 우울해해,"저런, 스트레스 많이 받으시겠어요",
우울한 사람이야,"저런, 스트레스 많이 받으시겠어요",
조용해,차분해보이세요!,
텐션이 낮아,"저런, 스트레스 많이 받으시겠어요",
항상 가라앉아있어,"저런, 스트레스 많이 받으시겠어요",
낯을 많이 가려,"저런, 스트레스 많이 받으시겠어요",
사람 만나는걸 별로 안좋아해,"저런, 스트레스 많이 받으시겠어요",
낯가려,"저런, 스트레스 많이 받으시겠어요",
사람을 싫어해,"저런, 스트레스 많이 받으시겠어요",
사람들이랑 있는 자리를 어려워해,"저런, 스트레스 많이 받으시겠어요",
많이 어려워해,"저런, 스트레스 많이 받으시겠어요",
침울한 편이야,"저런, 스트레스 많이 받으시겠어요",
우울해해,"저런, 스트레스 많이 받으시겠어요",
눈치를 많이봐,"저런, 스트레스 많이 받으시겠어요",
눈치를 많이보는 편이야,"저런, 스트레스 많이 받으시겠어요",
다른사람이랑 있을때 불편해해,"저런, 스트레스 많이 받으시겠어요",
내성적이야,차분해보이세요!,
내성적임,차분해보이세요!,
내성적인 편이야,차분해보이세요!,
다른사람이랑 있는게 불편해,"저런, 스트레스 많이 받으시겠어요",
조용한 편이야,차분해보이세요!,
시끄러워,인기쟁이 스타일이시군요!,
시끄럽다는 소리 많이들어,인기쟁이 스타일이시군요!,
시끄러운 편이야,인기쟁이 스타일이시군요!,
사람들이랑 만나는걸 좋아해,인기쟁이 스타일이시군요!,
사람들이랑 있는걸 좋아해,인기쟁이 스타일이시군요!,
외향적이야,인기쟁이 스타일이시군요!,
외향적,인기쟁이 스타일이시군요!,
외향적인 편인거 같아,인기쟁이 스타일이시군요!,
사람을 좋아해,인기쟁이 스타일이시군요!,
사람을 좋아하는 성격이야,인기쟁이 스타일이시군요!,
쾌활해,인기쟁이 스타일이시군요!,
사람 만나는걸 엄청 좋아해,인기쟁이 스타일이시군요!,
사람 만나는걸 좋아해,인기쟁이 스타일이시군요!,
텐션이 높아,인기쟁이 스타일이시군요!,
항상 신나있어,인기쟁이 스타일이시군요!,
항상 기분이 좋아,인기쟁이 스타일이시군요!,
화를 잘 안내,"저런, 스트레스 많이 받으시겠어요",
혼자 많이 참는편이야,"저런, 스트레스 많이 받으시겠어요",
혼자 안고가,"저런, 스트레스 많이 받으시겠어요",
많이 참아,"저런, 스트레스 많이 받으시겠어요",
참아,"저런, 스트레스 많이 받으시겠어요",
속으로만 생각해,"저런, 스트레스 많이 받으시겠어요",
표현하지 않아,"저런, 스트레스 많이 받으시겠어요",
감정을 표현하지 않아,"저런, 스트레스 많이 받으시겠어요",
웃음으로 넘어가,"저런, 스트레스 많이 받으시겠어요",
웃기만해,"저런, 스트레스 많이 받으시겠어요",
말을 잘 못해,"저런, 스트레스 많이 받으시겠어요",
사람들 앞에서 말을 잘 못해,"저런, 스트레스 많이 받으시겠어요",
파티같은걸 즐겨,인기쟁이 스타일이시군요!,
사람들 앞에서 말하는걸 좋아해,인기쟁이 스타일이시군요!,
사람들이 쾌활하대,인기쟁이 스타일이시군요!,
귀여운 편이야,인기쟁이 스타일이시군요!,
귀여워,인기쟁이 스타일이시군요!,
성격 좋아,인기쟁이 스타일이시군요!,
좋은 편이야,인기쟁이 스타일이시군요!,
좋다는 소리 많이 들어,인기쟁이 스타일이시군요!,
밝아,인기쟁이 스타일이시군요!,
밝다는 소리 많이 들어,인기쟁이 스타일이시군요!,
완전 행복해해,인기쟁이 스타일이시군요!,
항상 텐션이 좋아,인기쟁이 스타일이시군요!,
힘차,인기쟁이 스타일이시군요!,
힘차다는 소리 많이 들어,인기쟁이 스타일이시군요!,
밝대,인기쟁이 스타일이시군요!,
명랑한 편이야,인기쟁이 스타일이시군요!,
명랑하대,인기쟁이 스타일이시군요!,
유머있어,인기쟁이 스타일이시군요!,
유머 감각이 있어,인기쟁이 스타일이시군요!,
유머있는 편이야,인기쟁이 스타일이시군요!,
유쾌해,인기쟁이 스타일이시군요!,
유쾌하대,인기쟁이 스타일이시군요!,
사람들을 웃기는걸 잘해,인기쟁이 스타일이시군요!,
리더십 있어,인기쟁이 스타일이시군요!,
리더를 잘해,인기쟁이 스타일이시군요!,
사람들 이끄는걸 잘해,인기쟁이 스타일이시군요!,
회장 스타일이야,인기쟁이 스타일이시군요!,
사람들이 좋아하는 성격이야,인기쟁이 스타일이시군요!,
밝고 명랑해,인기쟁이 스타일이시군요!,
사람들을 잘 맞춰줘,인기쟁이 스타일이시군요!,
눈치가 빨라,인기쟁이 스타일이시군요!,
눈치가 없어,"저런, 스트레스 많이 받으시겠어요",
눈치를 보지만 눈치가 없어,"저런, 스트레스 많이 받으시겠어요",
혼자 스트레스를 많이 받아,"저런, 스트레스 많이 받으시겠어요",
인간 관계에서 스트레스를 많이 받아,"저런, 스트레스 많이 받으시겠어요",
재미 없어,아니에요!,
재미 없는거 같아,아니에요!,
사람 마주치기가 힘들어,"저런, 스트레스 많이 받으시겠어요",
보통이야,알겠습니다.,
그냥 그래,알겠습니다.,
보통 사람 같아,알겠습니다.,
일반 사람 같아,알겠습니다.,
별 다를거 없는데,알겠습니다.,
그냥 그런 성격,알겠습니다.,
보통 사람 성격,알겠습니다.,
보통 성격,알겠습니다.,
특별한 건 없는데,알겠습니다.,
그냥 그런데요,알겠습니다.,
별다를거 없어요,알겠습니다.,
보통 성격이에요,알겠습니다.,
보통이에요,알겠습니다.,
성격 더러워,하하 아닐거에요! 성격 좋아보이시는 걸요,
더럽다는 소리 많이들어,하하 아닐거에요! 성격 좋아보이시는 걸요,
성격 개더러워,하하 아닐거에요! 성격 좋아보이시는 걸요,
개더러워,하하 아닐거에요! 성격 좋아보이시는 걸요,
더러워요,하하 아닐거에요! 성격 좋아보이시는 걸요,
성격 더러워요,하하 아닐거에요! 성격 좋아보이시는 걸요,
더럽다고 하더라고,하하 아닐거에요! 성격 좋아보이시는 걸요,
더럽대,하하 아닐거에요! 성격 좋아보이시는 걸요,
성격 더럽,하하 아닐거에요! 성격 좋아보이시는 걸요,
그런걸 왜 물어 ,칵테일 추천에 이용해 보려고요!,
왜 물어,칵테일 추천에 이용해 보려고요!,
왜 물어봐 ,칵테일 추천에 이용해 보려고요!,
별걸 다 묻네,칵테일 추천에 이용해 보려고요!,
왜?,칵테일 추천에 이용해 보려고요!,
니가 뭔데,칵테일 추천에 이용해 보려고요!,
그건 왜,칵테일 추천에 이용해 보려고요!,
그건 왜 또,칵테일 추천에 이용해 보려고요!,
왜 또,칵테일 추천에 이용해 보려고요!,
enfp,참고하겠습니다!,
enfj,참고하겠습니다!,
entp,참고하겠습니다!,
entj,참고하겠습니다!,
estp,참고하겠습니다!,
esfp,참고하겠습니다!,
estj,참고하겠습니다!,
esfj,참고하겠습니다!,
infp,참고하겠습니다!,
infj,참고하겠습니다!,
intp,참고하겠습니다!,
intj,참고하겠습니다!,
istp,참고하겠습니다!,
